recipient_name,usd_commitment
Afghanistan,858697634
"Africa, regional",3650140786
Albania,836368186
Algeria,46347423
"America, regional",4618964313
Angola,1153192476
Antigua and Barbuda,43466750
Argentina,6103092157
Armenia,681789069
"Asia, regional",2378435077
Azerbaijan,663437124
Bangladesh,8088335389
Belarus,860482674
Belize,89549312
Benin,1338368600
Bhutan,125527020
Bolivia,2446377528
Bosnia and Herzegovina,1031026550
Botswana,293726213
Brazil,10135585362
Burkina Faso,1596565047
Burundi,390950536
Cabo Verde,83430108
Cambodia,1337024960
Cameroon,1975575106
"Caribbean & Central America, regional",397877613
"Caribbean, regional",413061570
Central African Republic,214790300
"Central America, regional",14720682
"Central Asia, regional",190411265
Chad,543060872
Chile,317735400
China (People's Republic of),13079268160
Colombia,6383391451
Comoros,162654113
Congo,80188063
Cook Islands,7527171
Costa Rica,1836699770
Cuba,98228386
Côte d'Ivoire,2738413458
Democratic People's Republic of Korea,1891075
Democratic Republic of the Congo,1844341581
Developing countries unspecified,24572957217
Djibouti,257581321
Dominica,371961102
Dominican Republic,1169641968
"Eastern Africa, regional",473542713
Ecuador,4056963449
Egypt,9340091495
El Salvador,494662090
Equatorial Guinea,71036560
Eritrea,69666108
Eswatini,159837343
Ethiopia,5127727285
"Europe, regional",403999628
"Far East Asia, regional",313906119
Fiji,176336525
Gabon,225337180
Gambia,203651414
Georgia,2352902524
Ghana,1244372749
Grenada,64390000
Guatemala,805513093
Guinea,738584279
Guinea-Bissau,75567702
Guyana,331322510
Haiti,1046241641
Honduras,1547811612
India,31836769939
Indonesia,7419902749
Iran,15120296
Iraq,1052232787
Jamaica,239726676
Jordan,2576331372
Kazakhstan,2586544201
Kenya,4816178110
Kiribati,124701890
Kosovo,308668267
Kyrgyzstan,644292435
Lao People's Democratic Republic,570438238
Lebanon,845110263
Lesotho,269012049
Liberia,398707990
Libya,11529388
Madagascar,1425029543
Malawi,1346851712
Malaysia,26865881
Maldives,269259290
Mali,1305467460
Marshall Islands,157471451
Mauritania,389729028
Mauritius,117965128
"Melanesia, regional",5043119
Mexico,7576616535
Micronesia,152110188
"Middle Africa, regional",101009475
"Middle East, regional",103502108
Moldova,694733384
Mongolia,1049347850
Montenegro,303410870
Montserrat,607841
Morocco,6467541330
Mozambique,2735740452
Myanmar,1190501078
Namibia,330441459
Nauru,54767343
Nepal,2377395099
Nicaragua,705839224
Niger,2189046435
Nigeria,4880529089
Niue,10008547
"North of Sahara, regional",99573158
"Oceania, regional",389866074
Pakistan,9066746595
Palau,14951350
Panama,1509610973
Papua New Guinea,334084568
Paraguay,980883384
Peru,3383810922
Philippines,5497032463
Republic of North Macedonia,412573686
Rwanda,1794334137
Saint Helena,1505395
Saint Lucia,71850073
Saint Vincent and the Grenadines,190452296
Samoa,114604038
Sao Tome and Principe,120925674
Senegal,2727528741
Serbia,3124934570
Seychelles,9223254
Sierra Leone,419920663
Solomon Islands,261289895
Somalia,665287953
"South & Central Asia, regional",163658411
South Africa,1374802945
"South America, regional",1207071935
"South Asia, regional",184534871
South Sudan,261204237
"South of Sahara, regional",2935484754
"Southern Africa, regional",37280113
Sri Lanka,2220590373
States Ex-Yugoslavia unspecified,18802575
Sudan,698213026
Suriname,161782115
Syrian Arab Republic,13815761
Tajikistan,1245548076
Tanzania,2565410403
Thailand,801107817
Timor-Leste,193973854
Togo,506340687
Tokelau,8745996
Tonga,166789402
Tunisia,2412759975
Turkmenistan,24157796
Tuvalu,73502340
Türkiye,11131598731
Uganda,2000693203
Ukraine,5933108624
Uruguay,85949622
Uzbekistan,4473551569
Vanuatu,257563145
Venezuela,1390253
Viet Nam,4771985257
Wallis and Futuna,15473
West Bank and Gaza Strip,408764263
"Western Africa, regional",553181060
Yemen,478169888
Zambia,766897802
Zimbabwe,207178230
